,sid,cond,dimtype,ruletype,counter,ruledir,rulerelation,block,acc,dist_mn,dist_med,avg_dist_med,nsel,mn_nsel,mn_nsel_early,mn_nsel_late
208,266,0,relative,1D,0,negative,1D-F,0,0.9375,0.8500625,0.6,0.7573125,15,7.5,12.0,3.0
209,266,0,relative,1D,0,negative,1D-F,1,1.0,0.2558125,0.065,0.7573125,15,7.5,12.0,3.0
210,266,0,relative,1D,0,negative,1D-F,2,1.0,0.800125,0.8535,0.7573125,12,7.5,12.0,3.0
211,266,0,relative,1D,0,negative,1D-F,3,1.0,0.939,0.985,0.7573125,6,7.5,12.0,3.0
212,266,0,relative,1D,0,negative,1D-F,4,1.0,0.7899375,0.701,0.7573125,3,7.5,12.0,3.0
213,266,0,relative,1D,0,negative,1D-F,5,1.0,0.7010625,0.53,0.7573125,3,7.5,12.0,3.0
214,266,0,relative,1D,0,negative,1D-F,6,1.0,0.886125,0.952,0.7573125,3,7.5,12.0,3.0
215,266,0,relative,1D,0,negative,1D-F,7,1.0,1.3949375,1.372,0.7573125,3,7.5,12.0,3.0
216,267,1,absolute,1D,0,negative,1D-F,0,1.0,0.6815,0.044,0.7466,16,6.625,9.5,3.75
217,267,1,absolute,1D,0,negative,1D-F,1,1.0,0.95845,0.522,0.7466,11,6.625,9.5,3.75
218,267,1,absolute,1D,0,negative,1D-F,2,1.0,1.07325,0.81,0.7466,6,6.625,9.5,3.75
219,267,1,absolute,1D,0,negative,1D-F,3,1.0,1.3077,1.592,0.7466,5,6.625,9.5,3.75
